x,y
877.12,280.91
862.83,283.4
856.73,284.16
871.81,280.88
889.19,277.12
856.4,282.99
859.84,281.91
944.33,267.16
922.83,270.03
1016.33,257.19
853.28,282.13
930.77,268.93
868.16,279.58
871.14,279.24
923.88,270.99
851.12,284.1
801.39,295.55
735.01,315.03
774.8,303.41
871.05,281.39
801.56,296.35
817.92,292.48
770.08,304.76
796.57,297.68
825.68,290.74
853.09,284.87
805.57,295.84
802.39,296.83
823.26,292.17
843.34,288.6
807.23,297.13
893.89,278.83
800.61,298.1
870.78,282.72
855.21,285.75
829.67,291.63
877.37,282.35
802.76,298.23
882.84,281.93
786.31,303.66
869.26,284.81
795.18,301.76
498.23,505.42
311.99,-4116.62
320.27,-24095.63
674.46,347
713.68,330.53
763.02,314.22
796.13,305.31
845.16,293.44
819.18,299.11
785.79,307.24
861.95,289.89
797.8,303.98
760.48,314.51
782.71,307.95
708.48,332.12
708.97,331.98
725.15,325.78
739.87,320.5
664.89,351.66
598.26,391.66
645.52,362.58
627.92,372.48
615.2,381.11
642.99,363.96
664.17,352.72
664.17,352.72
625.87,373.77
600.41,391.22
634.3,367.94
605.27,386.71
584.24,402.9
598.49,391.54
590.43,397.99
591.05,397.23
607.88,384.77
616.59,379.07
668.06,350.2
632.76,368.95
602.02,388.59
630.61,369.56
646.86,360.45
663.33,351.78
662.83,351.48
662.78,351.45
686.39,341
646.95,359.96
683.94,341.45
702.86,333.79
660.79,352.28
732.84,322.68
710.44,330.79
705.3,332.58
710.77,330.27
680,342.96
746.62,317.98
823.72,297.54
768.27,312.21
732.38,323.61
720.35,327.67
727.52,324.81
800.58,303.17
754.79,315.63
745.65,318.44
788.76,306.02
745.33,318.8
789.53,305.88
759.03,314.74
821.04,298.15
761.96,313.65
804.75,302.01
786.22,306.89
803.42,302.25
753.12,315.92
868.4,287.92
814.43,299.48
785.65,306.09
836.79,294.05
805.43,301.28
339.78,3216.71
365.83,-776.52
203.27,-273.08
380.64,-918.82
652.72,355.47
829.91,294.29
771.95,309.15
798.78,301.85
768.06,310.17
774.3,307.93
711.87,328.2
723.87,324.1
710.6,329.16
664.3,349.76
708.17,330.98
686.74,340.22
697.32,335.88
660.92,352.52
738.93,320.88
686.05,340.22
676.84,344.41
620.93,374.39
622.73,373.19
622.73,373.19
666.26,348.85
681.73,341.65
663.31,350.3
593.85,392.85
613.27,378.3
626.31,369.86
623.82,371.38
615.07,376.43
596.38,389.04
600.02,386.26
565.17,414.82
612.13,376.79
615.06,374.88
639.46,360.26
632.45,365.36
610.21,380.41
690.75,337.46
661.19,351.36
715.1,328.23
682.92,340.31
682.23,340.3
705.94,330.46
655.84,351.47
682.86,338.03
669.31,343.49
711.31,325.4
665.84,343.52
691.5,329.12
682.56,331.32
772.8,300.36
841,284.73
718.33,318.82
745.06,310.53
782.56,300.86
723.85,320.01
753.75,310.74
781.7,303.89
693.88,333.77
755.3,311.91
682.58,338.67
714.4,326.51
577.33,406.54
134.5,-158.23
282.56,-452.18
505.96,-4422.4
350.58,-5920.62
692.96,334.09
747.96,313.64
752.84,312.48
722.39,322.55
784.9,306.72
777.93,309.45
761,315.08
754.42,316.76
747.34,318.85
728.12,324.71
694.92,336.61
689.2,338.74
706.92,330.97
665.32,349.11
689.48,338.05
689.28,337.03
750.27,313.45
705.53,329.34
810.63,296.42
672.26,341.87
706.64,326.36
684.84,334.99
753.46,309.95
770.31,304.9
756.5,308.57
726.59,318.11
725.11,318.69
718.62,321.28
752.73,309.48
720.31,319.85
715.04,324.62
701.12,329.53
724.32,320.21
690.43,333.48
747.67,312.17
744.62,313.4
708.15,326.95
794.98,300.52
704.61,329.89
812,297.37
819.45,295.58
786.73,304.6
740.07,318.37
791.98,302.92
783.42,305.01
817.46,296.6
839.7,291.71
755.48,314.23
738.01,319.57
762.09,312.23
